source,config,encoder,preset,quality,source_bytes,output_bytes,size_pct,encode_seconds,vmaf_mean,vmaf_min,vmaf_p1,cambi_mean,cambi_max
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-18","libx265","slow","18",1361706237,971408563,71.34,1980,76.371201,0.000000,0.000000,0.008982,6.568155
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-20","libx265","slow","20",1361706237,711404121,52.24,1801,76.120681,0.000000,0.000000,0.014330,6.478587
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-slow-22","libx265","slow","22",1361706237,504630135,37.06,1651,75.769911,0.000000,0.000000,0.034639,6.313029
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","x265-medium-20","libx265","medium","20",1361706237,572488995,42.04,860,75.655311,0.000000,0.000000,0.031534,6.243104
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",1361706237,610180259,44.81,239,75.499792,0.000000,0.000000,0.128848,5.933593
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",1361706237,334283185,24.55,237,74.469503,0.000000,0.000000,0.418763,7.041126
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",1361706237,202788206,14.89,237,72.752327,0.000000,0.000000,0.548132,6.436212
"/media/tv/Frieren - Beyond Journey's End/Season 1/Frieren - Beyond Journey's End - S01E05 - Phantoms of the Dead Bluray-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",1361706237,339589837,24.94,97,74.336432,0.000000,0.000000,0.418990,7.014237
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-slow-18","libx265","slow","18",1846228371,587051202,31.80,1765,97.143241,87.543202,92.786301,0.618079,7.150576
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-slow-20","libx265","slow","20",1846228371,414462001,22.45,1643,96.812259,86.240703,91.574310,0.806141,7.397348
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-slow-22","libx265","slow","22",1846228371,297885654,16.13,1565,96.388834,84.400079,90.609644,0.919913,7.455580
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","x265-medium-20","libx265","medium","20",1846228371,348623398,18.88,804,96.240185,84.457339,90.860897,0.902249,7.360254
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","nvenc-p7hq-24","hevc_nvenc","p7hq","24",1846228371,413291332,22.39,228,96.310334,41.640751,90.195010,1.052205,8.096995
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","nvenc-p7hq-28","hevc_nvenc","p7hq","28",1846228371,245988650,13.32,228,95.037839,40.693738,87.524528,1.282974,8.000164
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","nvenc-p7hq-32","hevc_nvenc","p7hq","32",1846228371,159847375,8.66,227,92.866979,36.826440,80.779621,1.409076,8.492019
"/media/tv/Demon Slayer - Kimetsu no Yaiba/Season 1/Demon Slayer- Kimetsu no Yaiba - S01E05 - My Own Steel Bluray-1080p.mkv","nvenc-p4hq-28","hevc_nvenc","p4hq","28",1846228371,251542024,13.62,94,94.858468,40.845685,87.064004,1.294232,8.010784
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-18","libx265","slow","18",2222060920,1936484259,87.15,2197,97.226226,89.479156,94.829650,0.401965,23.800701
"/media/tv/Cowboy Bebop/Season 1/Cowboy Bebop - S01E05 - Session #9 - Jamming with Edward HDTV-1080p.mkv","x265-slow-20","libx265","slow","20",2222060920,1386356134,62.39,2261,96.554882,88.212912,93.550803,0.436273,23.578365
